AAVE/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:31:29.934897+00:00", "2026-09-15T20:31:29.934897+00:00"]
AAVE/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:31:29.934897+00:00", "2026-09-15T20:31:29.934897+00:00"]
AKE/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:33:41.899988+00:00", "2026-09-15T20:33:41.899988+00:00"]
AKE/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.65, "volume_ratio_min": 0.8}|["2026-05-20T20:33:41.899988+00:00", "2026-09-15T20:33:41.899988+00:00"]
ARKM/USDT|mean_reversion_v1|{"rsi_oversold": 30.0, "min_confidence": 0.45, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:36:50.508221+00:00", "2026-09-15T20:36:50.508221+00:00"]
ARX/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:37:31.995015+00:00", "2026-09-15T20:37:31.995015+00:00"]
AVAAI/USDT|mean_reversion_v1|{"rsi_oversold": 30.0, "min_confidence": 0.45, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:38:20.144694+00:00", "2026-09-15T20:38:20.144694+00:00"]
AVAAI/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:38:20.144694+00:00", "2026-09-15T20:38:20.144694+00:00"]
BANK/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:41:18.164809+00:00", "2026-09-15T20:41:18.164809+00:00"]
BANK/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:41:18.164809+00:00", "2026-09-15T20:41:18.164809+00:00"]
BEAT/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:44:16.675876+00:00", "2026-09-15T20:44:16.675876+00:00"]
